Gmt time,Open,High,Low,Close,Volume
04.12.2023 00:00:00.000,16425.969,16425.969,16424.149,16425.079,0
04.12.2023 00:01:00.000,16424.599,16425.199,16424.169,16425.199,0
04.12.2023 00:02:00.000,16424.299,16425.089,16424.179,16425.069,0
04.12.2023 00:03:00.000,16424.169,16425.199,16423.289,16423.299,0
04.12.2023 00:04:00.000,16422.369,16423.399,16421.459,16421.599,0
04.12.2023 00:05:00.000,16420.549,16420.549,16418.789,16418.789,0
04.12.2023 00:06:00.000,16417.869,16419.699,16417.869,16419.699,0
04.12.2023 00:07:00.000,16418.799,16419.659,16417.859,16418.789,0
04.12.2023 00:08:00.000,16419.649,16419.689,16418.749,16419.679,0
04.12.2023 00:09:00.000,16418.769,16420.059,16418.769,16419.659,0
04.12.2023 00:10:00.000,16420.589,16420.599,16420.059,16420.569,0
04.12.2023 00:11:00.000,16421.489,16421.489,16419.659,16419.659,0
04.12.2023 00:12:00.000,16420.579,16420.699,16419.649,16419.649,0
04.12.2023 00:13:00.000,16418.769,16418.769,16417.999,16417.999,0
04.12.2023 00:14:00.000,16417.999,16417.999,16417.999,16417.999,0
04.12.2023 00:15:00.000,16408.249,16415.749,16406.799,16408.789,0
04.12.2023 00:16:00.000,16409.399,16409.399,16406.789,16408.779,0
04.12.2023 00:17:00.000,16407.779,16408.789,16404.299,16404.799,0
04.12.2023 00:18:00.000,16405.249,16405.249,16404.749,16404.749,0
04.12.2023 00:19:00.000,16404.299,16404.299,16398.779,16398.779,0
04.12.2023 00:20:00.000,16400.579,16404.599,16400.579,16403.579,0
04.12.2023 00:21:00.000,16404.569,16408.079,16404.569,16408.079,0
04.12.2023 00:22:00.000,16409.059,16411.079,16409.059,16410.059,0
04.12.2023 00:23:00.000,16410.699,16411.199,16410.099,16410.099,0
04.12.2023 00:24:00.000,16411.049,16411.049,16411.049,16411.049,0
04.12.2023 00:25:00.000,16410.559,16411.099,16410.559,16410.589,0
04.12.2023 00:26:00.000,16410.079,16410.079,16410.079,16410.079,0
04.12.2023 00:27:00.000,16410.079,16410.079,16410.079,16410.079,0
04.12.2023 00:28:00.000,16410.079,16410.079,16410.079,16410.079,0
04.12.2023 00:29:00.000,16410.079,16410.079,16410.079,16410.079,0
04.12.2023 00:30:00.000,16410.079,16410.079,16410.079,16410.079,0
04.12.2023 00:31:00.000,16409.589,16410.549,16409.569,16410.549,0
04.12.2023 00:32:00.000,16410.049,16410.049,16409.579,16409.579,0
04.12.2023 00:33:00.000,16409.099,16409.099,16408.069,16408.069,0
04.12.2023 00:34:00.000,16408.069,16408.069,16408.069,16408.069,0
04.12.2023 00:35:00.000,16409.089,16409.089,16409.089,16409.089,0
04.12.2023 00:36:00.000,16408.699,16408.699,16408.699,16408.699,0
04.12.2023 00:37:00.000,16408.699,16408.699,16408.699,16408.699,0
04.12.2023 00:38:00.000,16408.699,16408.699,16408.699,16408.699,0
04.12.2023 00:39:00.000,16408.547,16408.547,16406.549,16408.099,0
04.12.2023 00:40:00.000,16409.569,16410.589,16409.569,16410.589,0
04.12.2023 00:41:00.000,16411.059,16414.699,16411.049,16414.699,0
04.12.2023 00:42:00.000,16415.549,16415.549,16412.699,16412.699,0
04.12.2023 00:43:00.000,16412.049,16413.559,16410.559,16413.559,0
04.12.2023 00:44:00.000,16414.069,16414.069,16412.549,16412.549,0
04.12.2023 00:45:00.000,16412.099,16412.569,16410.069,16412.569,0
04.12.2023 00:46:00.000,16411.589,16412.099,16410.589,16411.579,0
04.12.2023 00:47:00.000,16412.579,16413.599,16412.049,16412.589,0
04.12.2023 00:48:00.000,16413.059,16415.079,16413.059,16415.079,0
04.12.2023 00:49:00.000,16414.579,16416.059,16414.549,16415.699,0
04.12.2023 00:50:00.000,16416.059,16417.599,16415.079,16417.599,0
04.12.2023 00:51:00.000,16417.049,16417.049,16416.049,16417.049,0
04.12.2023 00:52:00.000,16417.699,16417.699,16416.559,16416.559,0
04.12.2023 00:53:00.000,16417.199,16417.199,16415.079,16415.079,0
04.12.2023 00:54:00.000,16415.559,16416.699,16415.049,16416.199,0
04.12.2023 00:55:00.000,16415.579,16415.699,16414.559,16415.569,0
04.12.2023 00:56:00.000,16415.049,16416.699,16415.049,16416.079,0
04.12.2023 00:57:00.000,16415.589,16415.599,16415.199,16415.599,0
04.12.2023 00:58:00.000,16415.059,16415.059,16411.599,16411.599,0
04.12.2023 00:59:00.000,16412.089,16415.549,16412.089,16415.549,0
04.12.2023 01:00:00.000,16415.079,16416.559,16414.579,16415.599,0
04.12.2023 01:01:00.000,16416.099,16416.099,16412.079,16412.599,0
04.12.2023 01:02:00.000,16412.059,16413.589,16412.059,16413.079,0
04.12.2023 01:03:00.000,16413.589,16414.549,16412.099,16412.699,0
04.12.2023 01:04:00.000,16412.059,16413.089,16408.199,16408.569,0
04.12.2023 01:05:00.000,16409.199,16409.199,16408.569,16408.569,0
04.12.2023 01:06:00.000,16409.089,16410.589,16408.549,16409.589,0
04.12.2023 01:07:00.000,16410.069,16413.059,16410.069,16413.059,0
04.12.2023 01:08:00.000,16414.059,16414.199,16413.089,16413.089,0
04.12.2023 01:09:00.000,16413.559,16415.699,16413.559,16414.099,0
04.12.2023 01:10:00.000,16413.549,16415.079,16413.549,16414.089,0
04.12.2023 01:11:00.000,16415.199,16415.549,16414.079,16414.079,0
04.12.2023 01:12:00.000,16414.699,16414.699,16411.579,16412.559,0
04.12.2023 01:13:00.000,16413.069,16414.099,16412.569,16413.579,0
04.12.2023 01:14:00.000,16413.199,16414.199,16410.089,16410.089,0
04.12.2023 01:15:00.000,16409.099,16413.059,16409.099,16412.049,0
04.12.2023 01:16:00.000,16411.579,16415.099,16410.549,16414.579,0.01
04.12.2023 01:17:00.000,16413.579,16416.699,16413.569,16415.569,0
04.12.2023 01:18:00.000,16415.069,16417.699,16414.559,16417.049,0
04.12.2023 01:19:00.000,16417.599,16417.599,16415.559,16416.079,0
04.12.2023 01:20:00.000,16416.549,16416.549,16413.589,16413.599,0
04.12.2023 01:21:00.000,16414.199,16418.099,16414.049,16417.599,0
04.12.2023 01:22:00.000,16418.059,16419.579,16417.549,16419.069,0
04.12.2023 01:23:00.000,16419.549,16420.699,16418.589,16419.089,0
